Pool,Token 0,Token 1,Exchange
0x0E26A21013f2F8C0362cFae608b4e69a249D5EFc,0x4E15361FD6b4BB609Fa63C81A2be19d873717870,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xD75EA151a61d06868E31F8988D28DFE5E9df57B4,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xcc39592f5cB193a70f262aA301f54DB1d600e6Da,0x3155BA85D5F96b2d030a4966AF206230e46849cb,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x104D92DEd53086B2980815F78A9143119Ad99D34,0xA49d7499271aE71cd8aB9Ac515e6694C755d400c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xaFa43241cf1A1d12268E75f1e7258b805E708Da5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf65B5C5104c4faFD4b709d9D60a185eAE063276c,sushiswapV2
0x67E4423340b56C119749A570aFa460f031AC29d6,0x3E9BC21C9b189C09dF3eF1B824798658d5011937,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2
0x753F33c13Fe44d41A8Cc6aC202A6de6C53c58B6a,0x0acC0FEE1D86D2cD5AF372615bf59b298D50cd69,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x3E04863DBa602713Bb5d0edbf7DB7C3A9A2B6027,0x55C08ca52497e2f1534B59E2917BF524D4765257,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xAAF448d30F01b429FB6e7F9AF6A8FF66e694F312,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xE60779CC1b2c1d0580611c526a8DF0E3f870EC48,sushiswapV2
0x868d966d6D3d94b115e8B003C443c7A7B04A3359,0x6fB3e0A217407EFFf7Ca062D46c26E5d60a14d69,0xdAC17F958D2ee523a2206206994597C13D831ec7,sushiswapV2
0x0463a06fBc8bF28b3F120cd1BfC59483F099d332,0x269616D549D7e8Eaa82DFb17028d0B212D11232A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x31503dcb60119A812feE820bb7042752019F2355,0xc00e94Cb662C3520282E6f5717214004A7f26888,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xa1181481bEb2dc5De0DaF2c85392d81C704BF75D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72,sushiswapV2
0xB84C45174Bfc6b8F3EaeCBae11deE63114f5c1b2,0x3b484b82567a09e2588A13D54D032153f0c0aEe0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x458ae80894A0924Ac763C034977e330c565F1687,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcAfE001067cDEF266AfB7Eb5A286dCFD277f3dE5,sushiswapV2
0x05767d9EF41dC40689678fFca0608878fb3dE906,0x4e3FBD56CD56c3e72c1403e103b45Db9da5B9D2B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x18Cd890F4e23422DC4aa8C2D6E0Bd3F3bD8873d8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF,sushiswapV2
0xA75F7c2F025f470355515482BdE9EFA8153536A8,0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xBa13afEcda9beB75De5c56BbAF696b880a5A50dD,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x36e2FCCCc59e5747Ff63a03ea2e5C0c2C14911e7,0x8798249c2E607446EfB7Ad49eC89dD1865Ff4272,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x58Dc5a51fE44589BEb22E8CE67720B5BC5378009,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xD533a949740bb3306d119CC777fa900bA034cd52,sushiswapV2
0xF1e34D19F63B69EaA70952F2f64f735849959833,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xDA0c94c73D127eE191955FB46bACd7FF999b2bcd,sushiswapV2
0x8597fa0773888107E2867D36dd87Fe5bAFeAb328,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xCC8Fa225D80b9c7D42F96e9570156c65D6cAAa25,sushiswapV2
0xA1d7b2d891e3A1f9ef4bBC5be20630C2FEB1c470,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xf55C33D94150d93c2cfb833bcCA30bE388b14964,0xa1faa113cbE53436Df28FF0aEe54275c13B40975,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x7cF6A842e72c4bD7Bc92e0C17EBDaa95AC1e7825,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe76C6c83af64e4C60245D8C7dE953DF673a7A33D,sushiswapV2
0x9cD028B1287803250B1e226F0180EB725428d069,0x903bEF1736CDdf2A537176cf3C64579C3867A881,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xb270176bA6075196dF88B855c3Ec7776871Fdb33,0x77777FeDdddFfC19Ff86DB637967013e6C6A116C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xb594855535A10B68c06B3Ee03D0d5Ec030A68d53,0x7c8155909cd385F120A56eF90728dD50F9CcbE52,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xe339c1D0A744053CbCeb0D2dc2d13967c8a69586,0x641927E970222B10b2E8CDBC96b1B4F427316f16,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x328dFd0139e26cB0FEF7B0742B49b0fe4325F821,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x7bc735d6974F6153B1dE24e40c0Bf5715Ca7Fe1d,0x35e78b3982E87ecfD5b3f3265B601c046cDBe232,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2
0xfE9a776154f30281517d4f06578591911906f4E1,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,0xFb782396c9b20E564A64896181c7AC8d8979d5F4,sushiswapV2
0x2A93167Ed63A31F35CA4788e2EB9fBd9fA6089D0,0x321C2fE4446C7c963dc41Dd58879AF648838f98D,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xE364992388319410C62Eb4595d848C8CEb41172b,0x86ed939B500E121C0C5f493F399084Db596dAd20,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xb50580b0D81D9Fe860746387cEF9a8fc36d48d49,0x16CDA4028e9E872a38AcB903176719299beAed87,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x8B00eE8606CC70c2dce68dea0CEfe632CCA0fB7b,0xa47c8bf37f92aBed4A126BDA807A7b7498661acD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x4a73d94683f2c9c2Aaf32ccd5723F3e243D6a654,0x8f693ca8D21b157107184d29D398A8D082b38b76,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x8D308E01f0401345996552DC391E44c4F3ce8754,0xB0c7a3Ba49C7a6EaBa6cD4a96C55a1391070Ac9A,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x557B08a0CAb46BfE22471B65522757ea92a9e7A5,0xAE12C5930881c53715B369ceC7606B70d8EB229f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x611CDe65deA90918c0078ac0400A72B0D25B9bb1,0x408e41876cCCDC0F92210600ef50372656052a38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x55D8EC728eA72477C6Db12cA497a803C8DB361E9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF17e65822b568B3903685a7c9F496CF7656Cc6C2,sushiswapV2
0xBb19141e045B133169D7C7160c5E54A54Cc821b2,0x8a854288a5976036A725879164Ca3e91d30c6A1B,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xF1F85b2C54a2bD284B1cf4141D64fD171Bd85539,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xbDd292A8ac7d426820bd0819c697B31C152C9aE6,0xdAC17F958D2ee523a2206206994597C13D831ec7,0xea7Cc765eBC94C4805e3BFf28D7E4aE48D06468A,sushiswapV2
0x18C12a654F982F68a91e8e6A4170Ca1Fcb9D60A2,0x135B810e48e4307AB2a59ea294A6f1724781bD3C,0xdAC17F958D2ee523a2206206994597C13D831ec7,sushiswapV2
0x269Db91Fc3c7fCC275C2E6f22e5552504512811c,0x429881672B9AE42b8EbA0E26cD9C73711b891Ca5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x57FBc21Ca3C157A26b6eA57334D6b082bE1060a7,0x32b86b99441480a7E5BD3A26c124ec2373e3F015,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x662511a91734AEa8b06EF770D6Ed51cC539772d0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xF94b5C5651c888d928439aB6514B93944eEE6F48,sushiswapV2
0xC558F600B34A5f69dD2f0D06Cb8A88d829B7420a,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x1b803Af96F37AE51Fa753E13E1D2E372dFA17791,0x00813E3421E1367353BfE7615c7f7f133C89df74,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0xC965BC2cf23D54ccF41a7d3aF10572580E9B8078,0x84cA8bc7997272c7CfB4D0Cd3D55cd942B3c9419,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2
0x840fDb210Cf93318e8A16a51F24938C866A32d3C,0x32a7C02e79c4ea1008dD6564b35F131428673c41,0xdAC17F958D2ee523a2206206994597C13D831ec7,sushiswapV2
0xc926990039045611eb1DE520C1E249Fd0d20a8eA,0x557B933a7C2c45672B610F8954A3deB39a51A8Ca,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
0x742c15d71eA7444964BC39b0eD729B3729ADc361,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd26114cd6EE289AccF82350c8d8487fedB8A0C07,sushiswapV2
0x28C5A7bb3e81F279B1c3C8CA5F945B4aCb392Ecb,0xB6ff96B8A8d214544Ca0dBc9B33f7AD6503eFD32,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2
