Pool,Token 0,Token 1,Exchange,Reserve 0,Reserve 1,Quote,blockNumber
0x7825dE5586E4d2FD04459091bbe783fa243E1bf3,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,126812755846271215354259,67678784502502206665,1873.744583010097,19538496.0
0xb5De0C3753b6E1B4dBA616Db82767F17513E6d4E,0x090185f2135308BaD17527004364eBcC2D37e5F6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,422447181187375884823063699,157398605960760170781,2657605.480025421,19538582.0
0xcCB42AAaB2ea1f8012C30418eE3FCe550954D827,0x57B946008913B82E4dF85f501cbAeD910e58D26C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,15575401232254802542397211,150906301075214739022,102762.34369499136,19538528.0
0x5c596C6a65f628Fc1090853D8eB1927651E9d9B2,0x9AB7bb7FdC60f4357ECFef43986818A2A3569c62,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,1492231997233788831268748,62984741892171467299,23691.960185983746,19538496.0
0x2979fa622CcB9F6B8925ca831f30C405077730c6,0x0763fdCCF1aE541A5961815C0872A8c5Bc6DE4d7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,1154859209715481590151648,43332808657479752729,26650.91983406756,19538496.0
0x1241F4a348162d99379A23E73926Cf0bfCBf131e,0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,58582489907082950206623,870971062739918595,67261.12084917373,19538496.0
0x15A8E38942F9e353BEc8812763fb3C104c89eCf4,0x227c7DF69D3ed1ae7574A1a7685fDEd90292EB48,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,69727398454132140291,256908584957927526475,0.271409374916572,19538496.0
0x9597384dCF235E973Aee5AE852Fd936E9F27D4b0,0x6100dd79fCAA88420750DceE3F735d168aBcB771,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,sushiswapV2,813211422225533378765,3039909899,0.2675116859526149,19538496.0
0xFb3cD0B8A5371fe93ef92E3988D30Df7931E2820,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe28b3B32B6c345A34Ff64674606124Dd5Aceca30,sushiswapV2,132702351775110784370,12784873210962695085538,0.0103796376847383,19538496.0
0x15e86E6f65EF7EA1dbb72A5E51a07926fB1c82E3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,sushiswapV2,43772151534586507406,14745042639164213794496876,2.9686012177627467e-06,19538496.0
0x6469B34a2a4723163C4902dbBdEa728D20693C12,0x85F17Cf997934a597031b2E18a9aB6ebD4B9f6a4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,7329209026311386237849136634,13987949625604405307,523.9659294236769,19538496.0
0x088ee5007C98a9677165D78dD2109AE4a3D04d0C,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,138316897444347195724,349129204003945744035,0.3961768189486205,19538496.0
0xD3c41c080a73181e108E0526475a690F3616a859,0x5F64Ab1544D28732F0A24F4713c2C8ec0dA089f0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,48379246155254382549266,5089575556936290683,9505.556134110451,19538496.0
0x7229d526d5fD693720B88Eb7129058dB5D497BCe,0x6fC13EACE26590B80cCCAB1ba5d51890577D83B2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,sushiswapV2,64384811319556291212637,683924809389251720,94140.18973379872,19538496.0
